Side,Expiration,Asset,Closing time,Trade amount,Profit,Payout,Result,ChannelID,ChannelName
CALL,M2,AED/CNY OTC,2026-05-13 07:22:02,1.00,-1.00,+92%,LOSS,-1002164216738,Emma Trader VIP
CALL,M2,AED/CNY OTC,2026-05-13 07:24:03,2.15,1.98,+92%,WIN,-1002281357812,Unknown
PUT,M2,AUD/CHF OTC,2026-05-13 07:37:58,1.00,-1.00,+92%,LOSS,-1002281357812,Unknown
PUT,M2,AUD/CHF OTC,2026-05-13 07:43:29,2.15,1.98,+92%,WIN,-1002164216738,Emma Trader VIP
PUT,M2,AUD/CHF OTC,2026-05-13 07:47:52,1.00,0.92,+92%,WIN,-1002281357812,Unknown
PUT,M2,AUD/CHF OTC,2026-05-13 07:51:37,1.00,-1.00,+92%,LOSS,-1002164216738,Emma Trader VIP
PUT,M2,AUD/CHF OTC,2026-05-13 07:57:47,2.15,1.98,+92%,WIN,-1002164216738,Emma Trader VIP
CALL,M2,AUD/USD OTC,2026-05-20 14:04:52,1.00,-1.00,+92%,LOSS,-1003340938354,Test Signal - Liastar
CALL,M2,AUD/USD OTC,2026-05-20 14:07:24,2.15,-2.15,+92%,LOSS,-1003340938354,Test Signal - Liastar
CALL,M2,AUD/USD OTC,2026-05-20 14:09:40,4.62,-4.62,+92%,LOSS,-1003340938354,Test Signal - Liastar
CALL,M2,AUD/USD OTC,2026-05-20 14:12:23,9.93,-9.93,+92%,LOSS,-1003340938354,Test Signal - Liastar
CALL,M2,AUD/USD OTC,2026-05-20 14:15:19,21.35,19.64,+92%,WIN,-1003340938354,Test Signal - Liastar
